"","word","freq"
"ukraine","ukraine",169
"impeachment","impeachment",153
"trump","trump",134
"whistleblower","whistleblower",133
"aid","aid",42
"get","get",34
"gop","gop",33
"realdonaldtrump","realdonaldtrump",32
"another","another",30
"schiff","schiff",29
"president","president",28
"trumps","trumps",28
"senator","senator",27
"complaint","complaint",26
"breaks","breaks",25
"attempt","attempt",25
"defend","defend",24
"house","house",24
"news","news",23
"possibility","possibility",23
"trump<U+0092>s","trump<U+0092>s",23
"aspects","aspects",22
"learn","learn",22
"raise","raise",22
"able","able",21
"moscow","moscow",21
"report","report",19
"latest","latest",19
"via","via",19
"caught","caught",19
"revelations","revelations",19
"trial","trial",19
"afghanistan","afghanistan",18
"senate","senate",18
"republicans","republicans",17
"amp","amp",17
"pelosi","pelosi",17
"navy","navy",16
"secretary","secretary",16
"week","week",16
"released","released",16
"reuters","reuters",15
"field","field",15
"grows","grows",15
"battle","battle",15
"call","call",14
"says","says",14
"military","military",14
"hes","hes",14
"httpstcoxjoosgvhuc","httpstcoxjoosgvhuc",13
"office","office",13
"repadamschiff","repadamschiff",13
"whistleblowers","whistleblowers",12
"like","like",12
"just","just",12
"vote","vote",12
"knew","knew",12
"contact","contact",12
"war","war",12
"asked","asked",11
"scandal","scandal",11
"law","law",11
"inquiry","inquiry",11
"committee","committee",11
"intel","intel",11
"civil","civil",11
"threatens","threatens",11
"time","time",10
"ukrain<U+0085>","ukrain<U+0085>",10
"suddenly","suddenly",10
"removed","removed",10
"democrats","democrats",9
"give","give",9
"said","said",9
"briefed","briefed",9
"think","think",8
"name","name",8
"public","public",8
"told","told",8
"according","according",8
"explain","explain",8
"sought","sought",8
"watchdog","watchdog",8
"evidence","evidence",7
"lashed","lashed",7
"reporter","reporter",7
"ukrainian","ukrainian",7
"wanted","wanted",7
"nbcnews","nbcnews",7
"investigation","investigation",7
"dems","dems",7
"biden","biden",7
"didnt","didnt",7
"fake","fake",7
"work","work",7
"staff","staff",7
"celebrated","celebrated",7
"new","new",7
"hold","hold",7
"unlikly","unlikly",7
"nyt","nyt",7
"adam","adam",6
"going","going",6
"talking","talking",6
"today","today",6
"johnson","johnson",6
"ron","ron",6
"can","can",6
"first","first",6
"coup","coup",6
"know","know",6
"hoax","hoax",6
